srno,timestamp,log_level,thread_id,group_id,module,message
16296,"2025-01-08 04:05:41,785",DEBUG,24,4448,api/v1/alert/list,"reading input - payload, query params and path vars"
16297,"2025-01-08 04:05:41,785",DEBUG,24,4448,api/v1/alert/list,performing input validation
16298,"2025-01-08 04:05:41,786",DEBUG,24,4448,api/v1/alert/list,generating output
16299,"2025-01-08 04:05:41,793",INFO,24,4448,api/v1/alert/list,Request END -- [10]
16300,"2025-01-08 04:05:41,804",INFO,33,0,runtime,Request received for endpoint: [lcl/api/v1/alert/list]
16301,"2025-01-08 04:05:41,804",INFO,33,4449,api/v1/alert/list,Request START -- [49.43.88.107][lcl/api/v1/alert/list][en_US][4449]
16302,"2025-01-08 04:05:41,804",DEBUG,33,4449,api/v1/alert/list,Checking user authz
16303,"2025-01-08 04:05:41,809",DEBUG,33,4449,api/v1/alert/list,"reading input - payload, query params and path vars"
16304,"2025-01-08 04:05:41,809",DEBUG,33,4449,api/v1/alert/list,performing input validation
16305,"2025-01-08 04:05:41,810",DEBUG,33,4449,api/v1/alert/list,generating output
16306,"2025-01-08 04:05:41,820",INFO,33,4449,api/v1/alert/list,Request END -- [6]
16307,"2025-01-08 04:05:41,920",INFO,31,0,runtime,Request received for endpoint: [lcl/api/v1/alert/list]
16308,"2025-01-08 04:05:41,920",INFO,31,4450,api/v1/alert/list,Request START -- [49.43.88.107][lcl/api/v1/alert/list][en_US][4450]
16309,"2025-01-08 04:05:41,920",DEBUG,31,4450,api/v1/alert/list,Checking user authz
16310,"2025-01-08 04:05:41,927",DEBUG,31,4450,api/v1/alert/list,"reading input - payload, query params and path vars"
16311,"2025-01-08 04:05:41,927",DEBUG,31,4450,api/v1/alert/list,performing input validation
16312,"2025-01-08 04:05:41,928",INFO,25,0,runtime,Request received for endpoint: [lcl/api/v1/alert/list]
16313,"2025-01-08 04:05:41,928",INFO,25,4451,api/v1/alert/list,Request START -- [49.43.88.107][lcl/api/v1/alert/list][en_US][4451]
16314,"2025-01-08 04:05:41,928",DEBUG,25,4451,api/v1/alert/list,Checking user authz
16315,"2025-01-08 04:05:41,928",DEBUG,31,4450,api/v1/alert/list,generating output
